indicator,indicator_code,location,location_code,period,value,value_numeric,value_ci,sex,residence,wealth_quintile
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,2012,6.4473659,6.4,[4.8-8.3],Female,Urban,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2017,25.3,25.3,[10.5 - 44.9],Urban,Rural,Total
Estimate of current tobacco smoking prevalence (%),M_Est_smk_curr,Kenya,KEN,2007,11.4,11.4,[9.3-13.6],Both sexes,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2011,4.64062,4.6,,1-59 months,Total,Total
"Alcohol, former drinkers (%), age-standardized",SA_0000001414,Kenya,KEN,2011,11.3224763,11.3,[10.3 - 12.5],Both sexes,Urban,Total
"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",SDGAIRBODA,Kenya,KEN,2011,144.987,145,[125-165],Both sexes,Total,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,1991,0.353097143,0.35,[0 - 1.77],Rural,Total,Total
Proportion of population with primary reliance on clean fuels and technologies for cooking (%),PHE_HHAIR_PROP_POP_CLEAN_FUELS,Kenya,KEN,2009,18.4,18.4,[6.3-35.9],Urban,Urban,Total
Household air pollution attributable DALYs,AIR_15,Kenya,KEN,2013,68430.575,68 431,[44 591-100 108],Female,Rural,Total
Number of under-five deaths,CM_01,Kenya,KEN,1967,43274,43 274,[40 179-46 442],Male,Total,Total
New HIV infections (per 1000 uninfected population),SDGHIV,Kenya,KEN,2002,4.6,4.6,[2.9 - 7.2],Female,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2008,4,4.0,[3.0-5.3],Female,Urban,Total
"Alcohol, average daily intake in grams among drinkers, three-year average",SA_0000001751,Kenya,KEN,2019,20.75992551,20.8,[9.7 - 33.4],Both sexes,Total,Total
"Mean total cholesterol,  crude",NCD_CHOL_MEANTOTALCHOL_C,Kenya,KEN,1980,3.8,3.8,[3.3-4.2],Both sexes,Total,Total
Joint effects of air pollution attributable deaths,AIR_35,Kenya,KEN,2019,6034.274,6034,[3780-8405],Both sexes,Urban,Total
Household air pollution attributable deaths,AIR_11,Kenya,KEN,2015,21099.474,21 099,[17 532-24 486],Both sexes,Rural,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2022,4.7,4.7,[4.3-5.1],6 to 59 months,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2003,5.8,5.8,[5.1-6.6],Total,Total,Total
Number of deaths among children ages 5 to 9 years,CM_04,Kenya,KEN,1993,9356,9356,[8369-10 508],Both sexes,Urban,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,1998,3,3,,Total,Total,Total
Number of under-five deaths,CM_01,Kenya,KEN,1964,41288,41 288,[38 233-44 575],Male,Total,Total
"Mean Non-HDL cholesterol, age-standardized",NCD_CHOL_MEANNONHDL_A,Kenya,KEN,1991,2.4,2.4,[2.1-2.7],Male,Urban,Total
Estimated number of MDR/RR-TB incident cases,TB_e_inc_rr_num,Kenya,KEN,2020,1400,1400,[680-2100],,Rural,Total
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,1994,11.476525,11.5,[7.3-16.6],Both sexes,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2016,4.5,4.5,[2.8-7.2],Female,Total,Total
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,2001,14.471185,14.5,[8.1-22.3],Male,Urban,Total
Proportion of population with primary reliance on clean fuels and technologies for cooking (%),PHE_HHAIR_PROP_POP_CLEAN_FUELS,Kenya,KEN,2005,0.9,0.9,[0.1-3.3],Rural,Total,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,2016,2.295335691,2.3,,All types,Total,Total
Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),NTD_5,Kenya,KEN,2006,1,1,,,Urban,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2011,3.218465781,3.22,[1.27 - 6.34],Rural,Rural,Total
"Tobacco Warning: W2b smoked tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2B_TOBACCOSMOKED,Kenya,KEN,2012,,No,,Qualitative information on emission yields must be displayed on one/more principle display areas of other smoked tobacco packaging,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2004,0.29704,0.3,,0-27 days,Total,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,2002,1.4817075,1.5,[0.3-4.2],Male,Urban,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2005,1.4,1.4,[0.2 - 4.5],Urban,Total,Total
Stillbirth rate (per 1000 total births),WHOSIS_000014,Kenya,KEN,2001,20.86158833,20.9,[14.5-30.5],Both sexes,Total,Total
Treatment success rate: HIV-positive TB cases,TB_c_tbhiv_tsr,Kenya,KEN,2015,82,82,,,Urban,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,1994,43.2,43.2,[41.0-45.5],Male,Rural,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,2004,15.09057051,15.1,[12.0-18.7],Male,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2009,1.58562,1.6,,1-59 months,Total,Total
Household and ambient air pollution attributable DALYs,AIR_60,Kenya,KEN,2018,36990.739,36 991,[24 561-53 769],Female,Urban,Total
Minimum Meal Frequency 6-23 months,NUT_CF_MMF,Kenya,KEN,2014,61.9,61.9,[53.3-69.8],Q5 (Richest),Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2008,7,7.0,[3.7-12.8],Female,Total,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2021,,Yes,,"Policies, strategies and plans",Urban,Total
Household air pollution attributable deaths,AIR_11,Kenya,KEN,2010,1918.349,1918,[1203-2891],Male,Rural,Total
Household air pollution attributable deaths,AIR_11,Kenya,KEN,2010,97.713,98,[85-109],Female,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2000,4.14559,4.1,,0-27 days,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2022,6.2,6.2,[5.5-6.9],Wealth - Top 60%,Urban,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2003,55.6,55.6,[48.4-62.5],Male,Total,Total
Domestic general government health expenditure (GGHE-D) per capita in US$,GHED_GGHE-D_pc_US_SHA2011,Kenya,KEN,2010,17.03454118,17.03,,,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2003,5.6,5.6,[4.7-6.6],Female,Urban,Total
"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_42,Kenya,KEN,2011,41.983,42,[25-60],Male,Rural,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2002,0.619966352,0.62,[0.1 - 1.99],Total,Total,Total
Tobacco MPOWER Protect people: P1 smoke-free places (national legislation),TOBACCO_MPOWER_P1_SMOKEFREEPLACES,Kenya,KEN,2014,,No,,Smoke-free health-care facilities,Total,Total
Number of incident tuberculosis cases,TB_e_inc_num,Kenya,KEN,2022,129000,129 000,[74 000-204 000],,Urban,Total
Life expectancy at birth (years),WHOSIS_000001,Kenya,KEN,2017,63.14667616,63.1,[62.4-64.1],Male,Total,Total
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,2010,6.9585986,7.0,[2.8-14.0],Male,Total,Total
Exclusive breastfeeding under six months,NUT_BF_EBF,Kenya,KEN,1993,17,17,,Total (All ages),Urban,Total
"Prevalence of diabetes, age-standardized",NCD_DIABETES_PREVALENCE_AGESTD,Kenya,KEN,2020,5.7029203,5.7,[2.4-10.9],Male,Rural,Total
Tuberculosis - new and relapse cases,TB_c_newinc,Kenya,KEN,2023,94653,94 653,,,Total,Total
Number of people who received treatment with antibiotics for trachoma,NTD_8,Kenya,KEN,2012,1977781,1977781,,,Total,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,1999,0.203452864,0.2,[0.01 - 0.81],Urban,Urban,Total
"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",SDGAIRBODA,Kenya,KEN,2017,114.772,115,[97-131],Female,Total,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2009,0,0,[0 - 1.4],Urban,Total,Total
"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS1C,Kenya,KEN,1999,6.9272421,6.9,[4.1-10.9],Both sexes,Urban,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2016,9.6,9.6,[5.2-17.2],Male,Rural,Total
Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),NCD_PAC,Kenya,KEN,2011,7.2677317,7.3,[4.1-11.6],Male,Total,Total
"Substance use disorders service coverage, non-structured services",SCSUD_NSS,Kenya,KEN,2023,0,0,,40_06_nss_supervised_injection_sites,Total,Total
"Tobacco Warning: W2b smoked tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2B_TOBACCOSMOKED,Kenya,KEN,2007,,No,,Health warnings on other smoked tobacco packaging do not remove or diminish the liability of the tobacco industry,Urban,Total
"Mean Non-HDL cholesterol, age-standardized",NCD_CHOL_MEANNONHDL_A,Kenya,KEN,2004,2.6,2.6,[2.3-2.8],Male,Total,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,1994,0,0,,Wine,Total,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,2003,62.60609395,62.6,[54.9-70.9],Both sexes,Urban,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2023,0,0,[0 - 0.8],Urban,Rural,Total
Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),MDG_0000000001,Kenya,KEN,1963,100.5788054,100.6,[93.2-108.5],Both sexes,Total,Total
"Mean Non-HDL cholesterol, crude",NCD_CHOL_MEANNONHDL_C,Kenya,KEN,1980,2.3,2.3,[2.0-2.6],Both sexes,Total,Total
"Population pushed further below the $2.15 a day poverty line by household health expenditures (%, national, rural, urban)",FINPROTECTION_IMP_P215_POP,Kenya,KEN,2015,5.63,5.63,,Urban,Urban,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,1985,0.57,0.57,,Other alcoholic beverages,Total,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,2007,1.6884137,1.7,[0.8-3.1],Female,Total,Total
"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",NCDMORT3070,Kenya,KEN,2002,15.9,15.9,[10.9-23.0],Both sexes,Urban,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2011,0.83782,0.8,,1-59 months,Rural,Total
"Prevalence of diabetes, age-standardized",NCD_DIABETES_PREVALENCE_AGESTD,Kenya,KEN,2011,5.8325451,5.8,[3.1-9.7],Male,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2008,35.5,35.5,[33.4-37.6],Total,Total,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2019,,Yes,,NCD-related medicines,Urban,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2021,,Yes,,Cancer diagnosis and treatment services,Total,Total
"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",SA_0000001739,Kenya,KEN,2001,19.3692527,19.4,[18.3 - 20.5],Male,Total,Total
UHC Service Coverage Index (SDG 3.8.1),UHC_INDEX_REPORTED,Kenya,KEN,2011,52,52,,,Urban,Total
Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),ROTAC,Kenya,KEN,2013,0,0,,,Rural,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2004,28.9,28.9,[12.2 - 51.5],Urban,Total,Total
Prevalence of HIV among adults aged 15 to 49 (%),MDG_0000000029,Kenya,KEN,2000,8.8,8.8,[7.9 - 9.9],,Total,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,1995,80.49467835,80.5,[71.1-90.7],Both sexes,Urban,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2019,,Yes,,Procedures for NCD management at higher levels of the public health system,Total,Total
"Mean total cholesterol,  age-standardized",NCD_CHOL_MEANTOTALCHOL_A,Kenya,KEN,1999,3.9,3.9,[3.6-4.2],Both sexes,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2008,2.8,2.8,[1.2-6.5],Male,Urban,Total
New HIV infections (per 1000 uninfected population),SDGHIV,Kenya,KEN,2005,2.5,2.5,[1.6 - 3.9],Male,Rural,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2016,19.2,19.2,[14.8-24.4],Female,Total,Total
Population with primary reliance on clean fuels and technologies for cooking (in millions),PHE_HHAIR_POP_CLEAN_FUELS,Kenya,KEN,2021,13.73054483,13.73,[7.29 - 21.82],Total,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,1994,2.4,2.4,[1.9-2.9],,Urban,Total
Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),MDG_0000000001,Kenya,KEN,2020,40.71041019,40.7,[36.1-46.0],Male,Total,Total
Household air pollution attributable DALYs,AIR_15,Kenya,KEN,2018,71282.547,71 283,[46 774-112 982],Both sexes,Total,Total
Mortality rate attributed to unintentional poisoning (per 100 000 population),SDGPOISON,Kenya,KEN,2014,1.5548429,1.6,[1.1-2.2],Both sexes,Urban,Total
"Alcohol, former drinkers (%), age-standardized",SA_0000001414,Kenya,KEN,2002,11.0763497,11.1,[10.0 - 12.2],Both sexes,Rural,Total
Number of under-five deaths,CM_01,Kenya,KEN,1998,17504,17 504,[15 462-19 709],Both sexes,Total,Total
Ambient air pollution attributable DALYs,AIR_7,Kenya,KEN,2017,969.3,969,[363-1844],Both sexes,Total,Total
"Mean total cholesterol,  age-standardized",NCD_CHOL_MEANTOTALCHOL_A,Kenya,KEN,1998,4,4.0,[3.5-4.4],Female,Urban,Total
Treatment success rate: new TB cases,TB_c_new_tsr,Kenya,KEN,2004,77,77,,,Total,Total
Tobacco Warning: W3 anti-tobacco mass-media campaigns,TOBACCO_MPOWER_W3_MASSMEDIA,Kenya,KEN,2024,,—,,Campaign was pre-tested,Total,Total
"Tobacco MPOWER Protect people: P2 smoke-free places, additional characteristics",TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,Kenya,KEN,2010,,—,,Citizen complaints and investigations of violations of smoke-free laws,Urban,Total
Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,RSUD_180,Kenya,KEN,2014,,No data,,Representatives of the alcohol industry,Rural,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2020,7.089875348,7.09,[3.9 - 10.31],Urban,Total,Total
"Tobacco Warning: W2a cigarette packaging health warnings, other characteristics",TOBACCO_MPOWER_W2A_CIGARETTES,Kenya,KEN,2007,,Yes,,Health warnings on cigarette packaging law applies to products whether manufactured domestically imported AND for duty-free sale,Total,Total
"Zero vegetable or fruit consumption, 6-23 months",NUT_CF_ZVF,Kenya,KEN,2014,28.7,28.7,[26.5-31.0],Both sexes,Urban,Total
Household air pollution attributable deaths,AIR_11,Kenya,KEN,2012,5177.45,5177,[4068-5996],Female,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2008,14.3,14.3,[10.7-18.7],Female,Total,Total
Number of under-five deaths,CM_01,Kenya,KEN,2010,14723,14 723,[13 035-16 600],Both sexes,Urban,Total
Ambient air pollution attributable DALYs,AIR_7,Kenya,KEN,2013,495.406,495,[183-945],Male,Rural,Total
Number of deaths among adolescents (10 to 19 years of age),DEATHADO,Kenya,KEN,2007,2274,2274,[1117-3524],Male,Total,Total
Household air pollution attributable DALYs,AIR_15,Kenya,KEN,2018,114170.193,114 170,[89 306-140 351],Both sexes,Total,Total
Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),NCD_PAA,Kenya,KEN,2001,10.822706,10.8,[5.1-18.7],Male,Urban,Total
Tobacco Warning: W1c smokeless tobacco packaging health warnings,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,Kenya,KEN,2016,,Yes,,Health warnings on smokeless tobacco packaging must include a photograph or graphic,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2014,4.7,4.7,[4.2-5.3],Male,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2003,18.2,18.2,[16.6-20.0],Wealth - Bottom 80%,Urban,Total
"Household air pollution attributable DALYs (per 100 000, age-standardized)",AIR_39,Kenya,KEN,2013,1802.011,1802,[1417-2106],Male,Rural,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2005,6,6.0,[3.2-11.1],Female,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2022,6.5,6.5,[5.6-7.6],Female,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2008,10.4,10.4,[6.9-15.6],Male,Urban,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,1993,5.8,5.8,[4.9-7.0],Wealth - Top 60%,Total,Total
"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",NCD_BMI_18A,Kenya,KEN,2002,15.119262,15.1,[12.0-18.5],Both sexes,Total,Total
Medical doctors (number),HWF_0002,Kenya,KEN,2013,8682,8682,,,Urban,Total
Estimated number of children needing antiretroviral therapy based on WHO methods,HIV_0000000023,Kenya,KEN,2011,200000,200 000,[160 000 - 260 000],,Rural,Total
Number of suspected cases of Buruli ulcer reported,NTD_BU_SUSP,Kenya,KEN,2006,,No data,,,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2016,3.16842,3.2,,0-27 days,Total,Total
Poliomyelitis - number of reported cases,WHS3_49,Kenya,KEN,2001,0,0,,,Urban,Total
"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",SA_0000001688,Kenya,KEN,2002,2.256312039,2.3,[1.5 - 3.1],Both sexes,Total,Total
Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),ROTAC,Kenya,KEN,2017,67,67,,,Total,Total
"Alcohol, average daily intake in grams among drinkers, three-year average",SA_0000001751,Kenya,KEN,2020,23.54355716,23.5,[10.0 - 39.1],Male,Urban,Total
Number of under-five deaths,CM_01,Kenya,KEN,1992,18069,18 069,[16 028-20 289],Both sexes,Rural,Total
"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",NTD_7,Kenya,KEN,2019,3222171,3222171,,,Total,Total
"Mean HDL cholesterol, crude",NCD_CHOL_MEANHDL_C,Kenya,KEN,1998,1.1,1.1,[1.0-1.2],Both sexes,Total,Total
Mortality rate attributed to unintentional poisoning (per 100 000 population),SDGPOISON,Kenya,KEN,2020,2.17321601,2.2,[1.4-3.4],Male,Urban,Total
Proportion of population with primary reliance on clean fuels and technologies for cooking (%),PHE_HHAIR_PROP_POP_CLEAN_FUELS,Kenya,KEN,2011,1.9,1.9,[0.3-5.5],Rural,Total,Total
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,1994,10.029247,10.0,[3.5-19.9],Male,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2001,700.60931,700.6,,Both sexes,Urban,Total
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,HIV_0000000021,Kenya,KEN,1998,130000,130 000,[120 000 - 160 000],,Rural,Total
"Prevalence of diabetes, crude",NCD_DIABETES_PREVALENCE_CRUDE,Kenya,KEN,2001,4.7685463,4.8,[1.8-9.6],Male,Total,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2002,0.4,0.4,[0 - 1.6],Rural,Total,Total
"Household air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_52,Kenya,KEN,2013,57.502,58,[45-67],Male,Urban,Total
Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),MDG_0000000001,Kenya,KEN,1975,78.55148369,78.6,[73.4-83.9],Both sexes,Total,Total
Number of infant deaths,CM_02,Kenya,KEN,1996,41823,41 823,[38 948-44 680],Male,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2022,2.2,2.2,[1.6-2.9],24 to 35 months,Urban,Total
Household air pollution attributable DALYs,AIR_15,Kenya,KEN,2017,67441.11,67 441,[40 891-103 685],Male,Rural,Total
Proportion of population with primary reliance on clean fuels and technologies for cooking (%),PHE_HHAIR_PROP_POP_CLEAN_FUELS,Kenya,KEN,2020,7.3,7.3,[2.6-14.4],Rural,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2019,844.99345,845,,Both sexes,Total,Total
Ambient air pollution attributable DALYs,AIR_7,Kenya,KEN,2019,85236.883,85 237,[29 339-156 503],Male,Urban,Total
Household air pollution attributable deaths,AIR_11,Kenya,KEN,2017,3869.2,3869,[3021-4716],Both sexes,Total,Total
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),MCV2,Kenya,KEN,2003,0,0,,,Total,Total
Number of deaths among adolescents (10 to 19 years of age),DEATHADO,Kenya,KEN,2006,4289,4289,[3457-5259],Male,Urban,Total
Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),WHS8_110,Kenya,KEN,2012,93,93,,,Rural,Total
"Overweight numbers among children under 5 years of age (thousands), model-based estimates",NUTOVERWEIGHTNUM,Kenya,KEN,2015,137.2,137.2,[118.0-160.2],Female,Total,Total
Tobacco Offer help: O2 Availability of tobacco cessation medications,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,Kenya,KEN,2012,,. . .,,Cytisine - cost covered,Total,Total
Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),CHILDMORT5TO14,Kenya,KEN,2021,5.984006856,6.0,[4.0-8.9],Male,Urban,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2009,0.527696304,0.53,[0.06 - 1.58],Rural,Total,Total
Number of incident tuberculosis cases in children aged 0 - 14,TB_e_inc_num_014,Kenya,KEN,2024,17000,17 000,[610-34 000],,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2002,8492.55179,8492.6,,Both sexes,Urban,Total
Continued breastfeeding 12-23 months,NUT_BF_CBF,Kenya,KEN,2003,80.9,80.9,[74.2-86.2],Q2,Rural,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2022,3,3.0,[2.5-3.5],Secondary or higher,Total,Total
"Mean total cholesterol,  age-standardized",NCD_CHOL_MEANTOTALCHOL_A,Kenya,KEN,2006,3.8,3.8,[3.4-4.2],Male,Total,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,2018,11.30388683,11.3,[7.5-16.1],Male,Urban,Total
"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",AIR_62,Kenya,KEN,2016,3096.878,3097,[2675-3508],Female,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,1994,2.4,2.4,[1.9-2.9],Total,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2008,37.8,37.8,[35.5-40.1],6 to 59 months,Urban,Total
"Antenatal care attendees positive for syphilis who received treatment (%), reported",PerctreatedANC,Kenya,KEN,2021,71.6,71.6,,,Rural,Total
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,HIV_0000000021,Kenya,KEN,2004,100000,100 000,[88 000 - 120 000],,Total,Total
Ministry/office that takes primary responsibility for treatment of substance use disorders,RSUD_140,Kenya,KEN,2014,,Ministry of health,,Drugs,Total,Total
"Mean Non-HDL cholesterol, crude",NCD_CHOL_MEANNONHDL_C,Kenya,KEN,1996,2.5,2.5,[2.3-2.7],Both sexes,Urban,Total
Number of deaths among children 5 to 14 years of age,CHILDDEATH5TO14,Kenya,KEN,1991,12046,12 046,[10 494-13 952],Both sexes,Total,Total
